Flughafen/Messe;Flughafen/Messe;2103;de:08116:2103;8116078;Leinfelden-Echterdingen;Echterdingen;ES;2,38,39;"Bus;Nachtbus;S-Bahn;Stadtbahn";S2,S3,S23,S30,U6,65,122,812,813,828,X82,N8,X10,X60,X3;10002_,10003_,10023_,10030_,20006_,30065_,31122_,31812_,31813_,31828_,31X82_,33008_,35X10_,35X60_,810X3_;15;10,20,30,31,33,35,81;9,193411574;48,69075193
Nellmersbach;Nellmersbach;1601;de:08119:1601;8119042;Leutenbach;Nellmersbach;WN;43,3;"R-Bahn;S-Bahn";S3,S23,MEX19,RE90;10003_,10023_,11019_,11090_;4;10,11;9,415421538;48,90336425
Maubach;Maubach;7601;de:08119:7601;8119008;Backnang;Maubach;WN;3,4,43,44,53,54;"Bus;Nachtbus;R-Bahn;S-Bahn";S3,S23,MEX19,RE90,361,N36;10003_,10023_,11019_,11090_,31361_,34036_;6;10,11,31,34;9,419487062;48,92623463
Neustadt-Hohenacker;Neustadt-Hohenacker;1602;de:08119:1602;8119079;Waiblingen;Neustadt;WN;32,43,2,3;"Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus";S3,S23,MEX19,RE90,S3E,201,201A,N24;10003_,10023_,11019_,11090_,31003e,31201_,31201a,34024_;8;10,11,31,34;9,32455106;48,85921668
Winnenden;Winnenden;7605;de:08119:7605;8119085;Winnenden;Winnenden;WN;3,43;"Bus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S3,S23,MEX19,RE90,S3E,330,331,332,333,334,335,336,337,339,456,RT332,RT334,RT30,RT31;10003_,10023_,11019_,11090_,31003e,31330_,31331_,31332_,31333_,31334_,31335_,31336_,31337_,31339_,31456_,50332_,50334_,51030_,51031_;19;10,11,31,50,51;9,392155928;48,8795625
Schwaikheim;Schwaikheim;1603;de:08119:1603;8119068;Schwaikheim;Schwaikheim;WN;43,3;"Bus;R-Bahn;S-Bahn;SEV-Bus";S3,S23,MEX19,RE90,S3E,339;10003_,10023_,11019_,11090_,31003e,31339_;6;10,11,31;9,354747358;48,86832665
Backnang;Backnang;7600;de:08119:7600;8119008;Backnang;Backnang;WN;4,53,54;"Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S3,S4,S23,MEX19,RE90,S3E,359,360,361,362,363,365,366,367,368,369,370,381,382,383,384,390,393,455,457,467,N30,N36,RT390;10003_,10004_,10023_,11019_,11090_,31003e,31359_,31360_,31361_,31362_,31363_,31365_,31366_,31367_,31368_,31369_,31370_,31381_,31382_,31383_,31384_,31390_,31393_,31455_,31457_,31467_,34030_,34036_,50390_;29;10,11,31,34,50;9,425986107;48,94264844
Erdmannhausen-Rielingshausen;Erdmannhausen-Rielingshausen;3514;de:08118:3514;8118014;Erdmannhausen;Erdmannhausen;LB;44,55,3,4;S-Bahn;S4;10004_;1;10;9,298930848;48,9483447
Favoritepark;Favoritepark;7403;de:08118:7403;8118048;Ludwigsburg;Eglosheim;LB;34,44,2,3;S-Bahn;S4;10004_;1;10;9,180574277;48,90948451
Burgstall (M);Burgstall (M);7500;de:08119:7500;8119018;Burgstetten;Burgstall (Burgstetten);WN;4,54;"Bus;Nachtbus;S-Bahn";S4,455,477,N30;10004_,31455_,31477_,34030_;4;10,31,34;9,36973562;48,92851826
Kirchberg (M);Kirchberg (M);7502;de:08119:7502;8119038;Kirchberg a.d.Murr;Kirchberg (M);WN;4,54,55;"Bus;S-Bahn";S4,488;10004_,31488_;2;10,31;9,328210283;48,93928182
Benningen (N);Benningen (N);1500;de:08118:1500;8118006;Benningen am Neckar;Benningen (N);LB;44,3;"S-Bahn;SEV-Bus";S4,S4E;10004_,31004e;2;10,31;9,244299075;48,94379773
Marbach (N);Marbach (N);7503;de:08118:7503;8118049;Marbach am Neckar;Marbach (N);LB;3,4,44,55;"Bus;Nachtbus;S-Bahn;SEV-Bus";S4,S4E,443,451,455,456,457,460,460A,461,464,X46,N40,N46;10004_,31004e,31443_,31451_,31455_,31456_,31457_,31460_,31460a,31461_,31464_,31X46_,34040_,34046_;14;10,31,34;9,264611825;48,9437708
Freiberg (N);Freiberg (N);1503;de:08118:1503;8118078;Freiberg am Neckar;Freiberg (N);LB;44,3;"Bus;Nachtbus;S-Bahn;SEV-Bus";S4,S4E,444,446,446A,459,564,N44;10004_,31004e,31444_,31446_,31446a,31459_,31564_,34044_;8;10,31,34;9,197530085;48,92994974
Kornwestheim;Kornwestheim;1402;de:08118:1402;8118046;Kornwestheim;Kornwestheim;LB;34,2;"Bus;Nachtbus;R-Bahn;S-Bahn";S4,S5,IRE1,RE8,RB11,RE12,RB17,RB18,411,412,413,414,415,N47,N48;10004_,10005_,11001_,11008_,11011_,11012_,11017_,11018_,31411_,31412_,31413_,31414_,31415_,34047_,34048_;15;10,11,31,34;9,179967278;48,86215948
